Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Year,AllStarSelection,Salary
11.0,Nikola Jokic,25.0,DEN,C,72.0,72.0,34.6,10.2,18.0,0.566,1.3,3.3,0.388,8.9,14.7,0.606,0.602,4.8,5.5,0.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,26.4,"MVP-1,AS,NBA1",2021,1,36002595.0
12.0,Donovan Mitchell,24.0,UTA,PG,53.0,53.0,33.4,9.0,20.6,0.438,3.4,8.7,0.386,5.7,11.9,0.476,0.52,5.0,6.0,0.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4,AS,2021,1,6331712.0
13.0,Jayson Tatum,22.0,BOS,SF,64.0,64.0,35.8,9.5,20.6,0.459,2.9,7.6,0.386,6.5,13.0,0.502,0.53,4.6,5.3,0.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,26.4,AS,2021,1,12061535.0
14.0,Devin Booker,24.0,PHO,SG,67.0,67.0,33.9,9.3,19.2,0.484,1.9,5.5,0.34,7.4,13.7,0.543,0.533,5.1,5.9,0.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6,AS,2021,1,35912155.0
15.0,Trae Young,22.0,ATL,PG,63.0,63.0,33.7,7.7,17.7,0.438,2.2,6.3,0.343,5.6,11.3,0.491,0.499,7.7,8.7,0.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,1.8,25.3,,2021,1,8008996.0
17.0,LeBron James,36.0,LAL,PG,45.0,45.0,33.4,9.4,18.3,0.513,2.3,6.3,0.365,7.1,12.0,0.591,0.576,4.0,5.7,0.698,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6,25.0,"MVP-13,AS,NBA2",2021,1,47796549.0
18.0,Kawhi Leonard,29.0,LAC,SF,52.0,52.0,34.1,8.9,17.5,0.512,1.9,4.9,0.398,7.0,12.6,0.557,0.568,5.0,5.7,0.885,1.1,5.4,6.5,5.2,1.6,0.4,2.0,1.6,24.8,"MVP-13,AS,NBA1,DEF2",2021,1,41897515.0
19.0,Karl-Anthony Towns,25.0,MIN,C,50.0,50.0,33.8,8.5,17.5,0.486,2.4,6.3,0.387,6.1,11.2,0.541,0.555,5.3,6.2,0.859,2.7,7.9,10.6,4.5,0.8,1.1,3.2,3.7,24.8,,2021,1,35912155.0
20.0,Jaylen Brown,24.0,BOS,SG,58.0,58.0,34.5,9.3,19.2,0.484,2.8,7.1,0.397,6.5,12.1,0.536,0.558,3.3,4.3,0.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,24.7,AS,2021,1,30510084.0
21.0,James Harden,31.0,2TM,PG,44.0,43.0,36.6,7.8,16.7,0.466,2.8,7.6,0.362,5.0,9.1,0.553,0.548,6.3,7.3,0.861,0.8,7.1,7.9,10.8,1.2,0.8,4.0,2.3,24.6,"MVP-13,AS",2021,1,50277018.0
22.0,Collin Sexton,22.0,CLE,SG,60.0,60.0,35.3,8.8,18.4,0.475,1.6,4.4,0.371,7.1,14.0,0.508,0.519,5.2,6.4,0.815,1.0,2.2,3.1,4.4,1.0,0.2,2.8,2.6,24.3,,2021,1,6083561.0
23.0,Julius Randle,26.0,NYK,PF,71.0,71.0,37.6,8.5,18.6,0.456,2.3,5.5,0.411,6.2,13.1,0.474,0.516,4.9,6.0,0.811,1.2,9.0,10.2,6.0,0.9,0.3,3.4,3.2,24.1,"MVP-8,MIP-1,AS,NBA2",2021,1,24184931.0
24.0,Brandon Ingram,23.0,NOP,SF,61.0,61.0,34.3,8.4,18.0,0.466,2.3,6.1,0.381,6.1,11.9,0.51,0.531,4.6,5.2,0.878,0.6,4.3,4.9,4.9,0.7,0.6,2.5,2.0,23.8,,2021,1,33251996.0
25.0,Shai Gilgeous-Alexander,22.0,OKC,SG,35.0,35.0,33.7,8.2,16.1,0.508,2.0,4.9,0.418,6.2,11.3,0.547,0.571,5.3,6.5,0.808,0.5,4.2,4.7,5.9,0.8,0.7,3.0,2.0,23.7,,2021,1,5046991.0
26.0,Nikola Vucevic,30.0,2TM,C,70.0,70.0,33.5,9.5,19.9,0.477,2.5,6.3,0.4,7.0,13.7,0.513,0.54,1.9,2.2,0.84,2.1,9.6,11.7,3.8,0.9,0.7,1.8,2.0,23.4,AS,2021,1,31685977.0
27.0,Paul George,30.0,LAC,SF,54.0,54.0,33.7,8.2,17.6,0.467,3.2,7.7,0.411,5.1,9.9,0.51,0.557,3.7,4.2,0.868,0.8,5.8,6.6,5.2,1.1,0.4,3.3,2.4,23.3,"AS,NBA3",2021,1,43203114.0
1.0,Joel Embiid,27.0,PHI,C,68.0,68.0,33.8,9.8,19.6,0.499,1.4,3.7,0.371,8.4,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,"MVP-2,AS,NBA2",2022,1,36516749.0
2.0,LeBron James,37.0,LAL,C,56.0,56.0,37.2,11.4,21.8,0.524,2.9,8.0,0.359,8.6,13.8,0.62,0.59,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,"MVP-10,AS,NBA3",2022,1,47619020.0
3.0,Giannis Antetokounmpo,27.0,MIL,PF,67.0,67.0,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,"MVP-3,DPOY-6,AS,NBA1,DEF1",2022,1,45496378.0
6.0,Trae Young,23.0,ATL,PG,76.0,76.0,34.9,9.4,20.3,0.46,3.1,8.0,0.382,6.3,12.3,0.512,0.536,6.6,7.3,0.904,0.7,3.1,3.7,9.7,0.9,0.1,4.0,1.7,28.4,"AS,NBA3",2022,1,9628294.0
7.0,DeMar DeRozan,32.0,CHI,PF,76.0,76.0,36.1,10.2,20.2,0.504,0.7,1.9,0.352,9.5,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9,"MVP-10,AS,NBA2",2022,1,30065035.0
9.0,Ja Morant,22.0,MEM,PG,57.0,57.0,33.1,10.2,20.6,0.493,1.5,4.5,0.344,8.6,16.2,0.534,0.53,5.5,7.3,0.761,1.4,4.4,5.7,6.7,1.2,0.4,3.4,1.5,27.4,"MVP-7,MIP-1,AS,NBA2",2022,1,11104821.0
10.0,Nikola Jokic,26.0,DEN,C,74.0,74.0,33.5,10.3,17.7,0.583,1.3,3.9,0.337,9.0,13.8,0.652,0.62,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1,"MVP-1,AS,NBA1",2022,1,35898700.0
11.0,Jayson Tatum,23.0,BOS,SF,76.0,76.0,35.9,9.3,20.6,0.453,3.0,8.6,0.353,6.3,12.0,0.524,0.526,5.3,6.2,0.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3,26.9,"MVP-6,AS,NBA1",2022,1,32497412.0
12.0,Devin Booker,25.0,PHO,SG,68.0,68.0,34.5,9.7,20.9,0.466,2.7,7.0,0.383,7.0,13.9,0.508,0.53,4.6,5.3,0.868,0.7,4.4,5.0,4.8,1.1,0.4,2.4,2.6,26.8,"MVP-4,AS,NBA1",2022,1,36599093.0
13.0,Donovan Mitchell,25.0,UTA,SG,67.0,67.0,33.8,9.2,20.5,0.448,3.5,9.8,0.355,5.7,10.8,0.533,0.533,4.0,4.7,0.853,0.8,3.4,4.2,5.3,1.5,0.2,3.0,2.4,25.9,AS,2022,1,32497412.0
14.0,Stephen Curry,33.0,GSW,PG,64.0,64.0,34.5,8.4,19.1,0.437,4.5,11.7,0.38,3.9,7.4,0.527,0.554,4.3,4.7,0.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2.0,25.5,"MVP-8,AS,NBA2",2022,1,52938707.0
15.0,Karl-Anthony Towns,26.0,MIN,C,74.0,74.0,33.5,8.7,16.4,0.529,2.0,4.9,0.41,6.6,11.5,0.58,0.591,5.2,6.3,0.822,2.6,7.2,9.8,3.6,1.0,1.1,3.1,3.6,24.6,"AS,NBA3",2022,1,36599093.0
16.0,Shai Gilgeous-Alexander,23.0,OKC,PG,56.0,56.0,34.7,8.5,18.8,0.453,1.6,5.3,0.3,6.9,13.5,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5.0,5.9,1.3,0.8,2.8,2.5,24.5,,2022,1,6354744.0
18.0,Paul George,31.0,LAC,PF,31.0,31.0,34.7,8.6,20.5,0.421,2.9,8.3,0.354,5.7,12.2,0.467,0.493,4.1,4.8,0.858,0.4,6.5,6.9,5.7,2.2,0.4,4.1,2.4,24.3,,2022,1,45496459.0
19.0,Damian Lillard,31.0,POR,PG,29.0,29.0,36.4,7.7,19.0,0.402,3.2,9.8,0.324,4.5,9.2,0.485,0.486,5.5,6.2,0.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24.0,,2022,1,45496378.0
