Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Year,AllStarSelection,Salary
8.0,Jayson Tatum,25.0,BOS,PF,74.0,74.0,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6.0,11.0,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1.0,0.6,2.5,2.0,26.9,"MVP-6,CPOY-9,AS,NBA1",2024,1,33568737.0
10.0,Donovan Mitchell,27.0,CLE,SG,55.0,55.0,35.3,9.1,19.8,0.462,3.3,9.0,0.368,5.8,10.8,0.539,0.545,5.0,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,AS,2024,1,34147405.0
11.0,Stephen Curry,35.0,GSW,PG,74.0,74.0,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4.0,7.7,0.515,0.573,4.0,4.4,0.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,1.6,26.4,"CPOY-1,AS,NBA3",2024,1,53458234.0
12.0,Nikola Jokic,28.0,DEN,C,79.0,79.0,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,"MVP-1,CPOY-4,AS,NBA1",2024,1,49021953.0
13.0,Anthony Edwards,22.0,MIN,SG,79.0,78.0,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13.0,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,"MVP-7,CPOY-8,AS,NBA2",2024,1,13936990.0
14.0,Tyrese Maxey,23.0,PHI,PG,70.0,70.0,37.5,9.1,20.3,0.45,3.0,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,2.2,25.9,"MIP-1,AS",2024,1,4472995.0
15.0,LeBron James,39.0,LAL,PF,71.0,71.0,35.3,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,"CPOY-10,AS,NBA3",2024,1,49021953.0
16.0,Trae Young,25.0,ATL,PG,54.0,54.0,36.0,8.0,18.7,0.43,3.2,8.7,0.373,4.8,10.0,0.479,0.516,6.4,7.5,0.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2.0,25.7,AS,2024,1,41254687.0
18.0,Ja Morant,24.0,MEM,PG,9.0,9.0,35.3,8.9,18.9,0.471,1.6,5.7,0.275,7.3,13.2,0.555,0.512,5.8,7.1,0.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1,,2024,1,35015681.0
20.0,Damian Lillard,33.0,MIL,PG,73.0,73.0,35.3,7.4,17.5,0.424,3.0,8.5,0.354,4.4,9.0,0.49,0.51,6.5,7.0,0.92,0.5,3.9,4.4,7.0,1.0,0.2,2.6,1.8,24.3,"CPOY-11,AS",2024,1,46996232.0
21.0,DeMar DeRozan,34.0,CHI,SF,79.0,79.0,37.8,8.2,17.2,0.48,0.9,2.8,0.333,7.3,14.3,0.509,0.507,6.6,7.7,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2.0,24.0,CPOY-2,2024,1,29449819.0
22.0,Julius Randle,29.0,NYK,PF,46.0,46.0,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7.0,9.2,5.0,0.5,0.3,3.5,2.7,24.0,AS,2024,1,27744448.0
23.0,LaMelo Ball,22.0,CHO,PG,22.0,22.0,32.3,8.3,19.2,0.433,3.2,9.0,0.355,5.1,10.3,0.5,0.515,4.1,4.7,0.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9,,2024,1,11224536.0
24.0,Desmond Bane,25.0,MEM,SG,42.0,42.0,34.4,8.6,18.5,0.464,3.3,8.6,0.381,5.3,9.9,0.536,0.552,3.3,3.8,0.87,0.9,3.5,4.4,5.5,1.0,0.5,2.7,2.9,23.7,,2024,1,3959335.0
25.0,Kawhi Leonard,32.0,LAC,SF,68.0,68.0,34.3,9.0,17.1,0.525,2.1,4.9,0.417,6.9,12.1,0.569,0.585,3.7,4.2,0.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7,"AS,NBA2",2024,1,46996232.0
26.0,Lauri Markkanen,26.0,UTA,PF,55.0,55.0,33.1,7.8,16.2,0.48,3.2,8.0,0.399,4.6,8.2,0.559,0.578,4.5,5.0,0.899,2.2,5.9,8.2,2.0,0.9,0.5,1.4,1.8,23.2,,2024,1,17772862.0
27.0,Jaylen Brown,27.0,BOS,SF,70.0,70.0,33.5,9.0,17.9,0.499,2.1,5.9,0.354,6.9,12.1,0.57,0.557,3.0,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,23.0,AS,2024,1,32776163.0
28.0,Zion Williamson,23.0,NOP,PF,70.0,70.0,31.5,8.9,15.6,0.57,0.1,0.3,0.333,8.8,15.4,0.574,0.573,5.0,7.1,0.702,1.7,4.1,5.8,5.0,1.1,0.7,2.8,2.3,22.9,,2024,1,35015681.0
29.0,Cade Cunningham,22.0,DET,PG,62.0,62.0,33.5,8.5,18.8,0.449,1.9,5.4,0.355,6.5,13.4,0.487,0.5,3.8,4.4,0.869,0.5,3.8,4.3,7.5,0.9,0.4,3.4,2.5,22.7,,2024,1,11383858.0
30.0,Paolo Banchero,21.0,ORL,PF,80.0,80.0,35.0,8.0,17.6,0.455,1.5,4.4,0.339,6.5,13.2,0.493,0.497,5.1,7.0,0.725,1.0,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6,AS,2024,1,11953002.0
31.0,Paul George,33.0,LAC,PF,74.0,74.0,33.8,7.9,16.7,0.471,3.3,7.9,0.413,4.6,8.8,0.523,0.569,3.6,3.9,0.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6,AS,2024,1,46996232.0
32.0,Anfernee Simons,24.0,POR,SG,46.0,46.0,34.4,7.8,18.2,0.43,3.4,8.8,0.385,4.4,9.4,0.472,0.523,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6,,2024,1,24823461.0
52.0,Terry Rozier,29.0,CHO,SG,30.0,30.0,35.5,8.4,18.3,0.459,2.8,7.7,0.358,5.6,10.6,0.533,0.535,3.6,4.3,0.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2,,2024,1,23894740.0
